puzzle,expression,score
2 8 10 11,(11 - 10) * 8 * 2,False
2 8 8 9,(9 - 2) * 8 / 8,False
4 6 8 10,(10 - 6) * (8 - 4),False
1 1 11 12,(12 / (1 + 1)) * 11,False
10 12 13 13,(13 - 10) * (13 - 12) * 12,False
9 9 12 12,(12 / 9 + 1) * 12,False
3 9 9 10,(10 - 9) * 3 * 9,False
2 3 5 13,(13 - 5) * (3 - 2),False
1 2 7 12,(12 / (7 - 2)) * 1,False
1 3 11 12,(12 / 3) * (11 - 1),False
8 8 8 13,(13 - 8) * 8 - 8,False
1 5 6 10,(10 - 1) * (6 - 5),False
5 9 9 12,(12 - 9) * (9 - 5),False
3 4 7 10,(10 - 7) * (4 + 3),False
3 7 10 11,(11 - 7) * (10 - 3),False
2 4 4 9,(9 - 2) * 4 - 4,True
1 3 5 7,(7 - 1) * (5 - 3),False
5 5 6 7,(7 - 5) * (6 + 5),False
2 8 10 12,2 * 12 * (10 - 8),False
2 4 10 12,2 * (12 - 10 + 4),False
8 9 11 11,(11 * 11) / (8 + 9),False
2 2 11 11,(11 - 2) * 2,False
5 9 10 13,(13 - 9) * (10 - 5),False
7 7 12 12,(12 / 7) * 12 * 7,False
2 8 12 13,(13 - 8) * 2 * 2,False
1 8 9 12,(12 / (9 - 8)) * 1,False
2 7 10 12,2 * (12 - (10 - 7)),False
1 6 6 9,(6 - 1) * (9 - 6),False
2 2 4 9,(9 - 2) * (4 - 2),False
1 1 2 13,(13 - 1) * 2 * 1,True
4 9 11 12,(12 / (11 - 9)) * 4,True
2 5 6 9,(9 - 5) * 6 * 2,False
2 4 6 13,(13 - 2) * (6 - 4),False
1 9 11 13,(13 - 11) * 9 * 1,False
1 6 7 12,(12 / 6) * (7 - 1),False
11 12 12 12,(12 / 12) * (12 + 11),False
2 5 8 11,(11 - 5) * (8 - 2),False
1 4 10 12,(12 / 4) * (10 - 1),False
2 3 4 8,(8 - 2) * (4 - 3),False
1 2 11 13,(13 - 11) * (2 * 1),False
1 8 8 12,(12 - 8) * 8 * 1,False
1 1 2 10,(2 - 1) * 10 * 1,False
4 6 11 11,(11 - 4) * (11 - 6),False
7 12 12 13,(13 - 12) * (12 - 7),False
2 3 6 9,(9 - 2) * 3,False
1 7 7 10,(10 - 7) * 7 * 1,False
3 6 6 9,(6 / 3) * (9 - 6),False
4 8 11 11,(11 - 4) * (11 - 8),False
3 7 10 10,(10 - 7) * 10 / 3,False
2 4 7 9,(9 - 2) * 4 - 7,False
4 9 12 12,(12 / 4) * 9 - 12,False
3 7 9 11,(11 - 9) * (7 + 3),False
6 7 8 11,(11 - 7) * (8 - 6),False
9 11 11 11,(11 - 9) * 11 + 11,False
1 2 6 9,(9 - 1) * 3,True
5 5 8 12,(12 - 5) * 5 - 8,False
7 7 7 12,(12 - 7) * 7 + 7,False
7 7 12 13,(13 - 7) * (12 - 7),False
5 6 11 12,(12 / 6) * (11 - 5),False
3 4 9 9,(9 - 3) * (9 - 4),False
1 2 5 8,(8 - 2) * (5 - 1),True
2 2 3 10,(10 - 2) * (3 - 2),False
2 3 3 9,(9 - 2) * 3 - 3,False
6 6 8 11,(11 - 6) * (8 - 6),False
3 9 12 13,(13 - 9) * (12 / 3),False
6 6 6 8,(8 - 6) * 6 * 6,False
1 7 8 12,(12 - 8) * (7 - 1),True
6 6 8 13,(13 - 6) * (8 - 6),False
1 2 2 13,(13 - 1) * (2 / 2),False
2 6 7 12,(12 / 2) * (7 - 6),False
3 10 11 13,(13 - 10) * 3 * 11,False
6 11 12 12,(12 / 6) * (12 - 11),False
2 4 10 13,(13 - 2) * (10 - 4),False
1 2 10 13,(13 - 1) * 2 - 10,False
1 6 11 13,(13 - 11) * (6 - 1),False
10 11 12 12,(12 / 12 + 10) * 11,False
5 5 8 9,(9 - 5) * (8 - 5),False
3 4 4 5,(5 - 3) * 4 * 4,False
2 5 7 8,(8 - 2) * (7 - 5),False
2 2 4 8,(8 / 2) * (4 + 2),True
6 8 8 9,(9 - 8) * 6 * 8,False
1 2 9 11,(11 - 1) * 2 - 9,False
4 5 6 8,(8 - 4) * (6 - 5),False
4 5 7 7,(7 - 5) * 4 * 7,False
2 2 6 6,(6 / 2) * (6 + 2),True
1 3 7 7,(7 - 1) * (7 - 3),True
6 7 8 10,(10 - 8) * (7 - 6) * 24,False
4 5 7 12,(12 / 4) * (7 - 5),False
4 7 9 12,(12 / (9 - 7)) * 4,True
4 8 13 13,(13 - 8) * 4,False
6 9 11 13,(13 - 11) * (9 - 6),False
2 2 4 10,(10 - 2) * (4 - 2),False
6 6 7 11,(11 - 7) * 6 + 6,False
1 4 5 11,(11 - 1) * (5 - 4),False
1 4 5 7,(7 - 1) * (5 - 4),False
4 7 9 9,(9 - 4) * (9 - 7),False
7 8 11 13,(13 - 7) * (11 - 8),False
5 11 12 12,(12 / 12) * (11 + 5),False
2 3 11 12,(12 / 2) * (11 - 3),False
8 8 11 13,(13 - 11) * (8 + 8),False
